id,Title,User name,User Location,District,Participant Count,Men,Women,Children,Date of Discussion,Challenges,Solutions,Author,Organization,Language,Session Created At,Image Urls,PDF Urls,Transcript Link
"3,047",Ground Realities: Education Challenges and Community Responses in Mandya,Rakesh,"Mandya, Mysuru",Mysore,65,,,,2025-06-05,"1. The community lacks a playground for children, which is essential for their physical development and overall well-being. | 2. There is a shortage of teachers, which can lead to inadequate attention for each student and negatively impact the quality of education. | 3. The community faces water scarcity, which can affect the health and hygiene of the children, as well as the overall learning environment. | 4. The absence of a library deprives children of access to a variety of books and resources, which are crucial for their academic and personal growth.","1. Buying new land for a playground would provide children with a safe and dedicated space for physical activity and recreation, contributing to their overall development. | 2. Recruiting new teachers would help alleviate the shortage, ensuring that each student receives adequate attention and support, which is essential for their academic success. | 3. Implementing a daily supply of water would address the issue of water scarcity, improving the health, hygiene, and overall learning environment for the children",120,ITC,en,"June 5, 2025, 10:10 AM",,https://mohini-static.shikshalokam.org/chatbot/storymedia/3047/Ground_Realities_Education_Challenges_and_Community_Responses_in_Mandya.pdf,aiepdnm09bky5yqruw87i9l2jpyxctba
"3,053",Infrastructure and education challenges in rural areas,ramesh,"nanjanagudu, mysuru, karnataka",Mysore,43,,,,2024-06-05,1. Lack of teachers and infrastructure in schools | 2. Rural-urban education gap | 3. There are no playgrounds in schools to play.,1. Hiring new teachers and providing more funding for rural schools. | 2. Teaching in local languages | 3. Purchase of land for playgrounds,120,chamarajendra samste,en,"June 5, 2025, 12:04 PM",,https://mohini-static.shikshalokam.org/chatbot/storymedia/3053/Infrastructure_and_education_challenges_in_rural_areas.pdf,qkdb0juu1cu07m108hcamsr0fxqiq0jg
"3,064",Infrastructure Challenges and Solutions in Rural Schools,ranichandrasekhar,"halebudanuru, mandya, karnataka",Mandya,40,,,,2025-06-05,1. Lack of basic facilities in schools | 2. Shortage of subject-specific teachers in schools,1. Involvement of the Education Department to address infrastructure issues | 2. Collaboration with SDMC to improve school facilities | 3. Gram Panchayat support for school development | 4. Education Department Initiatives for Subject-wise Teacher Recruitment,120,padi,en,"June 6, 2025, 3:08 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3064/1749202927-1000734135.jpg | https://mohini-static.shikshalokam.org/chatbot/storymedia/3064/1749202934-1000734279.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3064/ಗರಮಣ_ಶಲಗಳಲಲ_ಮಲಸಕರಯ_ಸವಲಗಳ_ಮತತ_ಪರಹರಗಳ.pdf,cyq1lprfxd8mk0vvm90p24zkl2455qsl
"3,065",Ground realities: Education challenges and community responses,nandini,"nagawala, mysuru, karnataka",Mysore,10,,,,2025-06-06,1. The community discussed the playground issue. | 2. The community also faces a transportation problem.,1. The community discussed cooperation as a solution. | 2. The children and teachers worked together to find a solution. | 3. The solution was found by contacting the transportation company.,120,ipe,en,"June 6, 2025, 3:07 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3065/1749203148-1000148811.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3065/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,w6p9tlmkv0o8z4pzzccdn07a6qmkyzex
"3,066",Addressing teacher shortage in rural schools,soumya,"channappana doddi, mandya, karnataka",Mandya,10,,,,2025-06-06,1. There is a shortage of teachers in the school.,1. Discussing with SDMC and finding a solution,120,padi samsthe,en,"June 6, 2025, 3:14 PM",,https://mohini-static.shikshalokam.org/chatbot/storymedia/3066/ಗರಮಣ_ಶಲಗಳಲಲನ_ಶಕಷಕರ_ಕರತಯನನ_ನಗಸವದ.pdf,4jwp7l3jnicktk94jr9nngt31iw59ihr
"3,067",Infrastructure challenges in Mysore,rajeshwari,mysore,Mysore,40,,,,2025-06-06,1. Infrastructure problem,1. I will try to understand the problems of the children in my house and solve them. I will discuss with the school SDMC and appeal to the local government.,120,padi,en,"June 6, 2025, 3:15 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3067/1749203506-IMG020250606_124816.jpeg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3067/ಮಸರನಲಲ_ಮಲಸಕರಯ_ಸವಲಗಳ.pdf,zm0ntud08wbtt2f5hiko3o8q9wcdl88l
"3,068",Infrastructure Challenges in Rural Schools,Lakshmi G,"Kannali, Mandya, Karnataka",Mandya,50,,,,2025-06-06,1. The school lacks basic amenities.,1. Community-based initiatives to improve basic amenities.,120,Padi,en,"June 6, 2025, 3:17 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3068/1749203531-IMG-20250606-WA0007.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3068/Infrastructure_Challenges_in_Rural_Schools.pdf,px8hr31y63wkfsriy4wmgjic27vvwpva
"3,070",Ground realities: Education challenges and community responses,veenaa bii,"mysuru, karnataka",Mysore,40,,,,2025-06-06,1. The community shared concerns about school infrastructure. | 2. The community discussed the issue of child marriage.,1. Conducting school site inspections to address infrastructure issues.,120,padisamsthe mangaluru,en,"June 6, 2025, 3:19 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3070/1749203618-IMG-20250531-WA0034.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3070/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,xzy0n4vw1cb5dlrt7ia1yr8b9dzqdnth
"3,071",Transportation Challenges in Education,nandini,"nagawala, mysuru, karnataka",Mysore,10,,,,2025-06-06,1. Problem in the transportation system,1. Community cooperation | 2. Solving the problem with school teachers and head teachers,120,aipie,en,"June 6, 2025, 3:20 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3071/1749203771-1000148816.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3071/ಶಕಷಣದಲಲ_ಸರಗ_ಸವಲಗಳ.pdf,j5jm3v9hnyg4ga8u9ibly2xndtzu67gh
"3,072",Ground realities: Education challenges and community responses,hamsaveni,"hdkote, mysore, karnataka",Mysore,20,,,,2025-06-06,1. Good education | 2. Skilled teachers | 3. Parents are required to attend parent-teacher meetings held at the school. | 4. Parents should show more interest in their children's education at home.,1. Hold a meeting at the school and inform all the parents.,120,ipei,en,"June 6, 2025, 3:19 PM",https://mohini-static.shikshalokam.org/chatbot/storymedia/3072/1749203824-IMG-20250606-WA0000.jpg,https://mohini-static.shikshalokam.org/chatbot/storymedia/3072/ನಲದ_ವಸತವಗಳ_ಶಕಷಣದ_ಸವಲಗಳ_ಮತತ_ಸಮದಯದ_ಪರತಕರಯಗಳ.pdf,8ymxeq4ftkiziswk58zp89yja8bgw2w2
