id,state,district,Date of Discussion
244,bihar,sheohar,2025-05-08
270,bihar,sheohar,2025-05-12
273,bihar,muzaffarpur,2025-05-12
278,bihar,sitamarhi,2025-05-12
282,bihar,sheohar,2025-05-12
290,bihar,sitamarhi,2025-04-22
306,bihar,patna,2025-04-22
307,bihar,patna,2025-05-10
311,bihar,sheohar,2025-05-12
314,bihar,west champaran,2025-05-12
315,bihar,rohtas,2025-05-12
319,bihar,rohtas,2025-03-12
338,bihar,west champaran,2025-05-12
340,bihar,sheohar,2025-05-12
356,bihar,sheohar,2025-05-12
358,bihar,patna,2025-05-02
364,bihar,patna,2025-04-22
369,bihar,patna,2025-05-12
380,bihar,patna,2025-05-12
395,bihar,patna,2025-04-10
408,bihar,sheohar,2025-05-12
422,bihar,sitamarhi,2025-04-22
439,bihar,gaya,2025-05-12
469,bihar,muzaffarpur,2025-05-12
478,bihar,gaya,2025-05-13
499,bihar,gaya,2025-05-13
501,bihar,gaya,2025-05-12
511,bihar,sitamarhi,2025-05-12
512,bihar,muzaffarpur,2025-05-12
513,bihar,muzaffarpur,2025-05-12
522,bihar,west champaran,2025-05-12
525,bihar,rohtas,2025-05-13
539,bihar,patna,2025-05-12
540,bihar,rohtas,2025-05-13
550,bihar,muzaffarpur,2025-05-07
562,bihar,sheohar,2025-05-13
567,bihar,sheohar,2025-05-13
585,bihar,sitamarhi,2025-05-13
596,bihar,sitamarhi,2025-04-28
609,bihar,sheohar,2025-05-15
610,bihar,patna,2025-05-15
611,bihar,patna,2025-04-15
619,bihar,sitamarhi,2025-05-16
627,bihar,muzaffarpur,2025-05-16
628,bihar,sitamarhi,2025-05-16
639,bihar,muzaffarpur,2025-05-16
645,bihar,rohtas,2025-05-16
657,bihar,sheohar,2025-05-16
658,bihar,sheohar,2025-05-16
669,bihar,rohtas,2025-05-16
673,bihar,sheohar,2025-05-16
724,bihar,kaimur,2025-05-16
731,bihar,sheohar,2025-05-16
733,bihar,gaya,2025-05-16
735,bihar,sitamarhi,2025-05-16
763,bihar,sheohar,2025-05-16
768,bihar,muzaffarpur,2025-05-16
774,bihar,sheohar,2025-05-16
783,bihar,rohtas,2025-05-17
787,bihar,sheohar,2025-05-17
794,bihar,sheohar,2025-05-17
813,bihar,sitamarhi,2025-05-17
816,bihar,sheohar,2025-05-17
824,bihar,kaimur,2025-05-17
833,bihar,west champaran,2025-05-17
842,bihar,sheohar,2025-05-17
846,bihar,kaimur,2025-05-17
854,bihar,muzaffarpur,2025-05-17
867,bihar,sheohar,2025-05-17
869,bihar,kaimur,2025-05-16
872,bihar,sheohar,2025-05-17
887,bihar,kaimur,2025-05-17
912,bihar,gaya,2025-05-17
914,bihar,muzaffarpur,2025-05-17
922,bihar,rohtas,2025-05-17
926,bihar,kaimur,2025-05-17
943,bihar,sitamarhi,2025-05-17
949,bihar,sheohar,2025-05-17
954,bihar,kaimur,2025-05-18
957,bihar,rohtas,2025-05-18
968,bihar,rohtas,2025-05-18
979,bihar,rohtas,2025-05-18
983,bihar,kaimur,2025-05-18
995,bihar,rohtas,2025-05-18
"1,003",bihar,sitamarhi,2025-05-18
"1,012",bihar,sheohar,2025-05-18
"1,038",bihar,gaya,2025-05-17
"1,043",bihar,gaya,2025-05-18
"1,044",bihar,west champaran,2025-05-18
"1,056",bihar,rohtas,2025-05-18
"1,065",bihar,west champaran,2025-05-18
"1,080",bihar,rohtas,2025-05-18
"1,092",bihar,kaimur,2025-05-18
"1,125",bihar,rohtas,2025-05-19
"1,132",bihar,rohtas,2025-05-18
"1,139",bihar,sitamarhi,2025-05-19
"1,148",bihar,sheohar,2025-05-12
"1,170",bihar,rohtas,2025-05-19
"1,174",bihar,muzaffarpur,2025-05-19
"1,178",bihar,rohtas,2025-05-19
"1,183",bihar,west champaran,2025-05-19
"1,187",bihar,sitamarhi,2025-05-19
"1,198",bihar,sheohar,2025-05-19
"1,210",bihar,west champaran,2025-05-19
"1,220",bihar,sitamarhi,2025-05-19
"1,222",bihar,muzaffarpur,2025-05-17
"1,228",bihar,gaya,2025-05-19
"1,252",bihar,rohtas,2025-05-19
"1,261",bihar,west champaran,2025-05-17
"1,273",bihar,sheohar,2025-05-19
"1,281",bihar,muzaffarpur,2025-05-20
"1,289",bihar,gaya,2025-05-20
"1,296",bihar,rohtas,2025-05-20
"1,317",bihar,sitamarhi,2025-05-20
"1,325",bihar,muzaffarpur,2025-05-20
"1,332",bihar,muzaffarpur,2025-05-20
"1,336",bihar,rohtas,2025-05-20
"1,345",bihar,sheohar,2025-05-20
"1,349",bihar,muzaffarpur,2025-05-16
"1,369",bihar,gaya,2025-05-20
"1,375",bihar,kaimur,2025-05-20
"1,379",bihar,sheohar,2025-05-20
"1,383",bihar,sitamarhi,2025-05-18
"1,387",bihar,sitamarhi,2025-05-20
"1,391",bihar,sitamarhi,2025-05-17
"1,395",bihar,gaya,2025-05-20
"1,403",bihar,sitamarhi,2025-05-20
"1,422",bihar,gaya,2025-05-20
"1,430",bihar,sitamarhi,2025-05-19
"1,432",bihar,sitamarhi,2025-05-18
"1,442",bihar,kaimur,2025-05-21
"1,444",bihar,rohtas,2025-05-21
"1,451",bihar,muzaffarpur,2025-05-17
"1,464",bihar,sitamarhi,2025-05-21
"1,468",bihar,sitamarhi,2025-05-21
"1,476",bihar,sitamarhi,2025-05-21
"1,479",bihar,sitamarhi,2025-05-21
"1,495",bihar,gaya,2025-05-21
"1,502",bihar,gaya,2025-05-21
"1,510",bihar,gaya,2025-05-21
"1,518",bihar,rohtas,2025-05-21
"1,573",bihar,gaya,2025-05-21
"1,579",bihar,gaya,2025-05-21
"1,587",bihar,sitamarhi,2025-05-21
"1,593",bihar,gaya,2025-05-21
"1,618",bihar,muzaffarpur,2025-05-22
"1,619",bihar,kaimur,2025-05-22
"1,627",bihar,sheohar,2025-05-22
"1,631",bihar,sheohar,2025-05-22
"1,644",bihar,muzaffarpur,2025-05-21
"1,659",bihar,kaimur,2025-05-22
"1,674",bihar,sheohar,2025-05-21
"1,677",bihar,rohtas,2025-05-22
"1,681",bihar,sheohar,2025-05-22
"1,683",bihar,sitamarhi,2025-05-22
"1,690",bihar,gaya,2025-05-22
"1,707",bihar,patna,2025-05-17
"1,713",bihar,gaya,2025-05-22
"1,725",bihar,gaya,2025-05-22
"1,769",bihar,muzaffarpur,2025-05-21
"1,776",bihar,muzaffarpur,2025-05-22
"1,780",bihar,rohtas,2025-05-23
"1,784",bihar,sitamarhi,2025-05-23
"1,794",bihar,sitamarhi,2025-05-23
"1,811",bihar,gaya,2025-05-23
"1,812",bihar,sitamarhi,2025-05-23
"1,837",bihar,rohtas,2025-05-23
"1,841",bihar,rohtas,2025-05-23
"1,861",bihar,gaya,2025-05-23
"1,872",bihar,sitamarhi,2025-05-23
"1,899",bihar,gaya,2025-05-22
"1,906",bihar,sheohar,2025-05-22
"1,918",bihar,kaimur,2025-05-23
"1,922",bihar,sitamarhi,2025-05-24
"1,928",bihar,rohtas,2025-04-22
"1,932",bihar,sitamarhi,2025-05-24
"1,955",bihar,sheohar,2025-05-24
"1,958",bihar,gaya,2025-05-24
"1,964",bihar,gaya,2025-05-24
"1,965",bihar,sitamarhi,2025-05-24
"1,968",bihar,rohtas,2025-05-24
"1,973",bihar,sitamarhi,2025-05-24
"1,976",bihar,sitamarhi,2025-05-23
"1,977",bihar,rohtas,2025-05-24
"1,979",bihar,rohtas,2025-05-24
"1,982",bihar,muzaffarpur,2025-05-21
"2,002",bihar,gaya,2025-05-16
"2,026",bihar,kaimur,2025-05-24
"2,027",bihar,sheohar,2025-05-22
"2,028",bihar,sitamarhi,2025-05-24
"2,043",bihar,sitamarhi,2025-05-24
"2,046",bihar,gaya,2025-05-17
"2,049",bihar,west champaran,2025-05-24
"2,050",bihar,kaimur,2025-05-18
"2,053",bihar,kaimur,2025-05-18
"2,059",bihar,kaimur,2025-05-20
"2,066",bihar,kaimur,2025-05-21
"2,072",bihar,kaimur,2025-05-22
"2,077",bihar,kaimur,2025-05-24
"2,082",bihar,sitamarhi,2025-05-25
"2,092",bihar,sitamarhi,2025-05-25
"2,099",bihar,sheohar,2025-05-24
"2,107",bihar,sitamarhi,2025-05-25
"2,109",bihar,sitamarhi,2025-05-25
"2,116",bihar,gaya,2025-05-17
"2,117",bihar,rohtas,2025-05-25
"2,125",bihar,rohtas,2025-05-25
"2,129",bihar,sheohar,2025-05-25
"2,131",bihar,gaya,2025-05-25
"2,144",bihar,rohtas,2025-05-25
"2,149",bihar,sitamarhi,2025-05-25
"2,166",bihar,gaya,2025-05-25
"2,184",bihar,sheohar,2025-05-25
"2,198",bihar,west champaran,2025-05-22
"2,211",bihar,muzaffarpur,2025-05-25
"2,214",bihar,rohtas,2025-05-22
"2,230",bihar,west champaran,2025-05-18
"2,233",bihar,west champaran,2025-05-18
"2,238",bihar,west champaran,2025-05-18
"2,242",bihar,west champaran,2025-05-18
"2,244",bihar,muzaffarpur,2025-05-22
"2,259",bihar,west champaran,2025-05-16
"2,263",bihar,muzaffarpur,2025-05-21
"2,269",bihar,rohtas,2025-05-26
"2,271",bihar,west champaran,2025-05-17
"2,277",bihar,west champaran,2025-05-18
"2,283",bihar,gaya,2025-05-24
"2,301",bihar,rohtas,2025-05-26
"2,317",bihar,sheohar,2025-05-26
"2,322",bihar,sheohar,2025-05-26
"2,357",bihar,muzaffarpur,2025-05-20
"2,369",bihar,sheohar,2025-05-25
"2,371",bihar,muzaffarpur,2025-05-26
"2,396",bihar,west champaran,2025-05-05
"2,401",bihar,rohtas,2025-05-26
"2,404",bihar,kaimur,2025-05-21
"2,415",bihar,gaya,2025-05-27
"2,420",bihar,muzaffarpur,2025-05-26
"2,421",bihar,kaimur,2025-05-19
"2,424",bihar,west champaran,2025-05-19
"2,428",bihar,gaya,2025-05-27
"2,439",bihar,muzaffarpur,2025-05-26
"2,440",bihar,muzaffarpur,2025-05-26
"2,461",bihar,sheohar,2025-05-24
"2,464",bihar,west champaran,2025-05-24
"2,481",bihar,gaya,2025-05-18
"2,482",bihar,gaya,2025-05-22
"2,517",bihar,gaya,2025-05-28
"2,519",bihar,muzaffarpur,2025-05-23
"2,521",bihar,gaya,2025-05-27
"2,525",bihar,west champaran,2025-05-18
"2,529",bihar,muzaffarpur,2025-05-23
"2,531",bihar,muzaffarpur,2025-05-27
"2,532",bihar,gaya,2025-05-28
"2,538",bihar,gaya,2025-05-25
"2,545",bihar,muzaffarpur,2025-05-20
"2,547",bihar,muzaffarpur,2025-05-28
"2,551",bihar,kaimur,2025-05-25
"2,558",bihar,kaimur,2025-05-20
"2,569",bihar,kaimur,2025-05-25
"2,580",bihar,west champaran,2025-05-20
"2,590",bihar,west champaran,2025-05-21
"2,592",bihar,west champaran,2025-05-22
"2,595",bihar,muzaffarpur,2025-05-22
"2,606",bihar,west champaran,2025-05-24
"2,610",bihar,west champaran,2025-05-25
"2,621",bihar,west champaran,2025-05-25
"2,624",bihar,kaimur,2025-05-24
"2,630",bihar,west champaran,2025-05-22
"2,646",bihar,west champaran,2025-05-17
"2,655",bihar,west champaran,2025-05-21
"2,657",bihar,west champaran,2025-05-22
"2,665",bihar,muzaffarpur,2025-05-26
"2,685",bihar,gaya,2025-05-19
"2,702",bihar,west champaran,2025-05-23
"2,715",bihar,west champaran,2025-05-27
"2,721",bihar,west champaran,2025-05-19
"2,726",bihar,sheohar,2025-05-23
"2,743",bihar,sheohar,2025-05-16
"2,751",bihar,kaimur,2025-05-25
"2,752",bihar,kaimur,2025-05-25
"2,756",bihar,muzaffarpur,2025-05-20
"2,776",bihar,west champaran,2025-05-26
"2,781",bihar,west champaran,2025-05-23
"2,789",bihar,west champaran,2025-05-20
"2,802",bihar,west champaran,2024-05-22
"2,813",bihar,patna,2025-05-28
"2,820",bihar,west champaran,2025-05-20
"2,837",bihar,sheohar,2025-05-17
"2,846",bihar,sheohar,2025-05-17
"2,847",bihar,muzaffarpur,2025-05-20
